scenario,lr,year,solarPV,windon,windoff
scenario_avg_high_high,LR4,2040,1177443.285058366,407352.3065977762,96988.51028896894
scenario_high_min_min,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_min,LR4,2040,1188368.792412865,402081.4699748107,99976.69791077783
scenario_high_min_avg,LR4,2030,598352.545223885,297382.5,41596.5
scenario_high_min_avg,LR4,2040,1188368.792412865,402255.9132975382,99976.69791077796
scenario_high_min_high,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_high,LR4,2040,1188368.792412865,402831.1892915441,99594.1694045606
scenario_high_avg_min,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_min,LR4,2040,1193586.238372054,405684.0739887854,97419.81967551849
scenario_high_avg_avg,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_avg,LR4,2040,1192072.845820097,404804.366153018,98198.24836010866
scenario_high_avg_high,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_high,LR4,2040,1192249.235813156,404980.605328031,98071.99333719081
scenario_high_high_min,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_min,LR4,2040,1173340.176657182,409121.6869640036,97319.80938447517
scenario_high_high_avg,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_avg,LR4,2040,1173340.176657182,409121.6869640037,97431.05114068379
scenario_high_high_high,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_high,LR4,2040,1173340.176657182,409121.6869640037,97431.05114068385
scenario_min_min_min,LR5,2030,598352.545223885,297382.5,41596.5
scenario_min_min_min,LR5,2040,1190839.664277466,397140.7615146745,99027.52980084736
scenario_min_min_avg,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_avg,LR5,2040,1189916.765647287,397140.7615146748,99422.5355611254
scenario_min_min_high,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_high,LR5,2040,1189916.765647288,397140.7615146748,99422.5355611253
scenario_min_avg_min,LR5,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_min,LR5,2040,1202885.037512817,398590.0568918753,97931.42319986752
scenario_min_avg_avg,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_avg,LR5,2040,1200297.956637705,398840.7213660026,97931.42319986754
scenario_min_avg_high,LR5,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_high,LR5,2040,1201388.797772097,398703.478640178,97931.42319986754
scenario_min_high_min,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_min,LR5,2040,1184089.811537983,403738.3190626192,96494.31962753068
scenario_min_high_avg,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_avg,LR5,2040,1190769.196318286,404066.2042038174,96328.93202674361
scenario_min_high_high,LR5,2030,598352.545223885,297382.5,41596.5
scenario_min_high_high,LR5,2040,1190769.196318287,404066.2042038175,96328.93202674344
scenario_avg_min_min,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_min,LR5,2040,1189087.03923047,397864.2301100391,99987.23483893188
scenario_avg_min_avg,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_avg,LR5,2040,1188543.215463088,398130.6898750493,99987.2348389317
scenario_avg_min_high,LR5,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_high,LR5,2040,1188543.215463088,398130.6898750492,99987.23483893191
scenario_avg_avg_min,LR5,2030,598352.545223885,297382.5,41596.5
scenario_avg_avg_min,LR5,2040,1199998.311196156,398590.0568918755,97931.42319986754
scenario_avg_avg_avg,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_avg,LR5,2040,1200406.835403418,398840.7213660029,97931.42319986751
scenario_avg_avg_high,LR5,2030,598352.545223885,297382.5,41596.5
scenario_avg_avg_high,LR5,2040,1200406.835403396,398840.7213660027,97931.42319986752
scenario_avg_high_min,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_min,LR5,2040,1190384.434470682,403775.2216724022,96817.17206804875
scenario_avg_high_avg,LR5,2030,598352.545223885,297382.5,41596.5
scenario_avg_high_avg,LR5,2040,1190404.186541329,404114.6804878422,96753.03987972703
scenario_avg_high_high,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_high,LR5,2040,1190404.18654133,404114.6804878422,96753.03987972709
scenario_high_min_min,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_min,LR5,2040,1188368.792412865,400392.9040110388,99976.6979107778
scenario_high_min_avg,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_avg,LR5,2040,1188368.792412865,400577.994010856,99987.23483893188
scenario_high_min_high,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_high,LR5,2040,1188368.792412865,400577.9940108559,99987.2348389319
scenario_high_avg_min,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_min,LR5,2040,1196240.494193874,402833.3132732676,97931.42319986754
scenario_high_avg_avg,LR5,2030,598352.5452238852,297382.5,41596.5
